"Mkt Al","Orig","Dest","Op Al","Stop-1 Al","Stop-1 Airport","Stop-2 Al","Stop-2 Airport","Total Pax","Pax Share","% POO Orig","% POO Dest","% POO Other","Fare","Rev","Yield","Year","Month","Class","Year-Month-Day"
"SQ","ICN","SYD","SQ","SQ","SIN",NULL,NULL,"1.4689","0.0415348197458382","96.96","3.04","0","1766.3935598066578","2594.6555","0.2125868813497169","2022","Nov","First","2022-11-01 00:00:00"
"EK","BLR","SYD","EK","EK","DXB",NULL,NULL,"2.0125","0.2426315949377344","100","0","0","202.5104099378882","407.5522","0.021658198696542","2022","Jan","Other","2022-01-01 00:00:00"
"EK","MAA","SYD","EK","EK","DXB",NULL,NULL,"3.3032","0.3982413338625214","100","0","0","195.8927706466457","647.073","0.0214753218110414","2022","Jan","Other","2022-01-01 00:00:00"
"MF","PKX","SYD","MF","MF","XMN",NULL,NULL,"1.01","0.0476330590596639","100","0","0","177.06633663366335","178.837","0.0199282594307831","2022","Feb","Other","2022-02-01 00:00:00"
"NH","HND","SYD","NH",NULL,NULL,NULL,NULL,"1.7061","0.0804621406551413","98.26","1.7399999999999998","0","153.34892444757048","261.6286","0.019699525259797","2022","Feb","Other","2022-02-01 00:00:00"
"SQ","CGK","SYD","SQ","SQ","SIN",NULL,NULL,"1.4514","0.0684501207120755","95.73","2.85","1.43","136.18134215240457","197.6536","0.0246847032205589","2022","Feb","Other","2022-02-01 00:00:00"
"OZ","ICN","SYD","OZ",NULL,NULL,NULL,NULL,"1.7515","0.0394014240932183","100","0","0","219.15535255495288","383.8506","0.0263755224152054","2022","Mar","Other","2022-03-01 00:00:00"
"EK","BOM","SYD","EK","EK","DXB",NULL,NULL,"7.0869","0.1594256079967052","99.09337171400752","0.906628285992465","0","323.15968900365465","2290.2004","0.0318278840612501","2022","Mar","Other","2022-03-01 00:00:00"
"SQ","CGK","SYD","SQ","SQ","SIN",NULL,NULL,"17.9899","0.2835083162481458","97.05","2.9500000000000006","0","160.36972968165472","2885.0354","0.0290691743831003","2022","Apr","Other","2022-04-01 00:00:00"
"KE","ICN","SYD","KE",NULL,NULL,NULL,NULL,"3.9125","0.039587575675382","95.67","4.33","0","247.2569456869009","967.3928","0.0297575716826028","2022","May","Other","2022-05-01 00:00:00"
"CX","PVG","SYD","CX","CX","HKG",NULL,NULL,"3.6588","0.0370205806724824","100","0","0","468.8505247622172","1715.4303","0.0598213980578294","2022","May","Other","2022-05-01 00:00:00"
"SQ","SUB","SYD","SQ","SQ","SIN",NULL,NULL,"1.028","0.0104015406502984","100","0","0","125.10311284046692","128.606","0.0254536575338986","2022","May","Other","2022-05-01 00:00:00"
"CX","PVG","SYD","CX","CX","HKG",NULL,NULL,"27.3655","0.2941712312091817","100","0","0","454.8443149220734","12447.0421","0.0580343230523069","2022","Jun","Other","2022-06-01 00:00:00"
"CX","ICN","SYD","CX","CX","HKG",NULL,NULL,"4.0755","0.0426714624273977","96.55","3.45","0","435.0765304870568","1773.1544","0.0523618093211471","2022","Jul","Other","2022-07-01 00:00:00"
"CX","PVG","SYD","CX","CX","HKG",NULL,NULL,"53.5988","0.5611922906032655","100","0","0","408.1003679186848","21873.69","0.0520701871224133","2022","Jul","Other","2022-07-01 00:00:00"
"JL","ITM","SYD","JL","JL","HND",NULL,NULL,"3.1667","0.0243481677109972","98.11","1.89","0","199.92740076420247","633.1101","0.0256884050749929","2022","Aug","Other","2022-08-01 00:00:00"
"PR","SIN","SYD","PR","PR","MNL",NULL,NULL,"19.3501","0.1487793223306813","99.6702760192454","0.3297239807546214","0","183.1296427408644","3543.5769","0.0291250279111878","2022","Aug","Other","2022-08-01 00:00:00"
"PR","KTM","SYD","H9","PR","KUL","PR","MNL","1.7392","0.0133723855379311","100","0","0","249.38977690892364","433.7387","0.0256350078530932","2022","Aug","Other","2022-08-01 00:00:00"
"PR","TPE","SYD","PR","PR","MNL",NULL,NULL,"1.4988","0.0115239946206595","100","0","0","201.483720309581","301.9838","0.0277535311617654","2022","Aug","Other","2022-08-01 00:00:00"
"PR","KUL","SYD","PR","PR","MNL",NULL,NULL,"21.6991","0.1668403467261506","95.66617970330566","0","4.333820296694333","188.5743786608661","4091.8943","0.0286630836808461","2022","Aug","Other","2022-08-01 00:00:00"
"TR","ATQ","SYD","TR","TR","SIN",NULL,NULL,"4.8867","0.0375729280175989","98.01322242003806","1.9867775799619376","0","556.1645691366361","2717.8094","0.0514645778414524","2022","Aug","Other","2022-08-01 00:00:00"
"UL","BOM","SYD","UL","UL","CMB",NULL,NULL,"11.3211","0.089723653429936","100","0","0","93.78024220261284","1061.6955","0.0092363830565109","2022","Oct","Other","2022-10-01 00:00:00"
"QF","UBN","SYD","OM","QF","BKK",NULL,NULL,"5.3646","0.0004559266050197","97.67","2.33","0","527.0799686835924","2827.5732","0.0523852059195158","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"QF","UBN","SYD","OM","QF","ICN",NULL,NULL,"50.7722","0.0043150275463939","100","0","0","605.490544037879","30742.087","0.0601782437510631","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","CTU","SYD","CX","CX","HKG",NULL,NULL,"1.355","0.0001151587350038","100","0","0","413.8050184501845","560.7058","0.0475895829679634","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","PEK","SYD","CX","CX","HKG","QF","BNE","1.2896","0.000109600520045","100","0","0","422.534429280397","544.9004","0.0473064362472401","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","PEK","SYD","CX","CX","HKG","QF","MEL","1.261","0.0001071698633504","100","0","0","422.5251387787471","532.8042","0.047305396094075","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","WUH","SYD","CA","CX","PEK","CX","HKG","0.7062","6.001852299611586e-05","96.17","3.829999999999999","0","377.8072783913905","266.8075","0.0463674813737597","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","WUH","SYD","CZ","CX","HKG",NULL,NULL,"1.1745","9.981840166941106e-05","96.17","3.829999999999999","0","377.81081311196255","443.7388","0.0463679151824756","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","WUH","SYD","MU","MU","NGB","CX","HKG","2.5905","0.0002201614044483","95.66125960239336","4.33874039760664","0","393.6333912372129","1019.7073","0.048309786444541","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","CGO","SYD","PN","CX","HKG",NULL,NULL,"0.0694","5.8981669441099416e-06","95.48753602305476","4.512463976945245","0","407.7492795389049","28.2978","0.047858642818622","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","CGO","SYD","CX","CX","HKG",NULL,NULL,"24.3645","0.0020706900361637","95.48399802992058","4.516001970079419","0","407.3994048718423","9926.0828","0.0478175770766025","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","TNA","SYD","MU","MU","PVG","CX","HKG","0.2765","2.3499180980495665e-05","100","0","0","410.07305605786615","113.3852","0.0477257132164926","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","TNA","SYD","GX","GX","NNG","CX","HKG","0.4593","3.903498670647977e-05","100","0","0","410.0376660134988","188.3303","0.0477215944013614","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","NGO","SYD","CX","CX","HKG",NULL,NULL,"5.3802","0.0004572524177622","98.65060778409725","1.3493922159027545","0","379.2160328612319","2040.2581","0.0488562964206516","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","NGO","SYD","CX","CX","HKG",NULL,NULL,"6.8952","0.0005860092321761","98.64978535793016","1.3502146420698458","0","379.2102912170785","2614.7308","0.0488555566959449","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","NGO","SYD","7G","CX","TPE","CX","HKG","0.542","4.606349400155027e-05","100","0","0","455.71439114391137","246.9972","0.058711962173369","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","BOM","SYD","UK","CX","BKK","CX","HKG","1.1733","9.971641607383564e-05","100","0","0","467.1602318247677","548.1191","0.0460104468548901","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","NRT","SYD","CX","CX","HKG","QF","MEL","1.652","0.0001404001699087","100","0","0","380.59897094430994","628.7495","0.0488118133166758","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","KHH","SYD","CX","CX","HKG","ZL","MEL","0.3998","3.397820092586678e-05","100","0","0","490.41795897948975","196.0691","0.0695099431588074","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","KHH","SYD","UO","CX","HKG",NULL,NULL,"3.231","0.0002745962160867","100","0","0","352.8314453729496","1139.9984","0.0500089633005042","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","HAN","SYD","CX","CX","HKG",NULL,NULL,"0.1381","1.1736842290800906e-05","100","0","0","379.507603186097","52.41","0.0488432251525595","2023","Jan","DiscountEco","2023-01-01 00:00:00"
